cov_nr,arm,n,time_total_days,diagnosis,gender_pct_female,age_mean,age_sd,age_se,fev1_pct_mean,fev1_pct_sd,age_other,healthcare_setting,health_literacy,digital_literacy,ses,educational_level,ethnicity
5232,treat2,35,180,COPD,44.0,71.98,9.52,,,,,3 Remote monitor,BCKQ -> evt visueel in plot supps,Never used technology (%) 85,Patients with caregiver (%) 76,,
5339,control,12,270,COPD,50.0,62.8,7.4,,,,,3,,,,,
5339,treat1,12,270,COPD,50.0,64.1,9.0,,,,,3,,,,,
5343,control,16,21,COPD,31.25,67.9,5.7,,56.4,10.6,,3,,,"Work (employed/unemployed) 4/10
= 28.57% employed",,
5343,treat1,14,21,COPD,42.86,65.2,9.0,,48.7,16.7,,3,,,"Work (employed/unemployed) 3/13
= 18.75% employed",,
5534,control,17,56,COPD,64.7,75.0,9.0,,68.0,19.0,,3,,"Computer usage in the past (%)
Never used before 12
Used in the past but not currently using 12
Used in the past and currently using 76","Employment status (%)
Employed 6
Retired 94",,
5534,treat1,19,56,COPD,36.84,73.0,8.0,,60.0,23.0,,3,,"Computer usage in the past (%)
Never used before 32
Used in the past but not currently using 10
Used in the past and currently using 58","Employment status (%)
Employed 26
Retired 74",,
5563,control,647,365,COPD,56.26,70.33,9.11,,48.37,18.94,,3,,,"Marital status (%)
Married/in a relationship 54.25 (n=351)
Single 22.10 (n=143)
Widow/widower 16.54 (n=107)
Missing (%) 7.11 (n=46)",,
5563,treat1,578,365,COPD,51.73,69.55,9.36,,47.7,18.05,,3,,,"Marital status (%)
Married/in a relationship 55.88 (n=323)
Single 20.42 (n=118)
Widow/widower 16.78 (n=97)
Missing (%) 6.92 (n=40)",,
5660,control,50,365,COPD,26.0,64.0,8.0,,51.7,21.0,,3,,,,,
5660,treat1,47,365,COPD,6.38,66.9,9.6,,49.6,21.9,,3,,,,,
5660,treat2,50,365,COPD,24.0,66.7,7.3,,51.8,17.3,,2,,,,,
5737,control,59,365,COPD,50.7,63.0,8.0,,53.0,15.0,,3,,,,,
5737,treat1,62,365,COPD,50.0,62.0,9.0,,59.0,20.0,,3,,,,,
5777,control,14,180,COPD,0.0,71.9,,2.7,54.2,,,3,,,,,
5777,treat1,12,180,COPD,0.0,71.4,,1.9,63.5,,,3,,,,,
5787,control,39,365,COPD,25.6,64.4,7.0,,45.4,11.5,,3,CSMS subscore Information Management 11.4 SD 15.7,,,,
5787,treat1,39,365,COPD,33.3,63.2,7.5,,43.7,13.2,,3,CSMS subscore Information Management 11.9 SD 14.6,,,,
5973,control,20,365,COPD,47.72,69.0,9.0,,44.0,15.0,,3,,,,,
5973,treat1,23,365,COPD,28.57,70.0,7.0,,43.0,16.0,,3,,,,,
5974,control,46,420,COPD,34.78,69.0,9.0,,43.0,15.0,,3,,,,,
5974,treat1,49,420,COPD,48.98,70.0,7.0,,43.0,15.0,,3,,,,,
6039,control,120,365,COPD,33.33,64.65,0.88,,41.08,9.27,,3,,,,"Degree of education
primary school 35% (n42)
junior high school 38.34% (n46)
higher than junior high school 26.66% (n32)",
6039,treat1,120,365,COPD,40.0,65.42,0.62,,40.98,9.86,,3,,,,"Degree of education
primary school 38.34% (n46)
junior high school 33.33% (n40)
higher than junior high school 28,33% (n34)",
6159,control,38,730,COPD,42.5,63.5,8.0,,40.3,16.1,,3,,"Digital competence, n (%)
Daily user or nearly every day 28 (70)
At least once a week, but not every day 5 (12.5)
No experience 7 (17.5)","Living arrangements, n (%)
Alone 17 (42.5)
With spouse 15 (37.5)
With family 7 (17.5)
With friends 1 (2.5)
Supported accommodation 0 (0)

Social status
Working, n (%) 11 (27.5)
Retired, n (%) 29 (72.5)",,
6159,treat1,37,730,COPD,42.5,64.9,7.1,,40.4,16.5,,3,,"Digital competence, n (%)
Daily user or nearly every day 25 (62.5)
At least once a week, but not every day 8 (20)
No experience 7 (17.5)","Living arrangements, n (%)
Alone 19 (47.5)
With spouse 15 (37.5)
With family 5 (12.5)
With friends 1 (2.5)
Supported accommodation 0 (0)

Social status
Working, n (%) 5 (12.5)
Retired, n (%) 35 (87.5)",,
6159,treat2,40,730,COPD,50.0,64.0,7.7,,44.6,17.1,,3,,"Digital competence, n (%)
Daily user or nearly every day 26 (65)
At least once a week, but not every day 9 (22.5)
No experience 5 (12.5)","Living arrangements, n (%)
Alone 20 (50)
With spouse 16 (40)
With family 4 (10)
With friends 0 (0)
Supported accommodation 0 (0)

Social status
Working, n (%) 8 (20)
Retired, n (%) 32 (80)",,
